"year","emissions","municipality","surface","compactness","demand","gas_consume","electricity_consume","diesel_consume","eco_consume","co2","energy"
"1983","103.86","CANYELLES","72.02","0.8","276.4","0","3.16","244.74","420.95","G","G"
"1972","52.2","Vallcebre","127.08","1.25","189.44","159.23","36.48","0","260.76","E","E"
"1977","78.53","Sitges","288","1.05","227.9","303.43","0","0","373.26","G","G"
"1980","74.65","Cervelló","131","1.03","161.36","0","4.34","235.42","286.05","F","F"
"1800","56.56","Badalona","128.9","2.23","143.97","220.31","3.14","0","268.3","E","E"
"1850","112.98","Rupit i Pruit","87.82","0.98","405.68","398.85","37.68","0","548.27","F","G"
"1965","42.4","Cabrils","112.98","0.91","184.53","120.11","36.67","0","214.58","E","E"
"1910","32.61","SANTA MARGARIDA I ELS MONJOS","217","1.83","116.23","0","17.55","0","161.28","D","E"
"2006","39.1","Roda de Ter","125","0.93","100.66","149.89","4.01","0","186.21","E","E"
"2006","39.1","Roda de Ter","125","0.93","100.66","149.89","4.01","0","186.21","E","E"
"2006","39.1","Roda de Ter","125","0.93","100.66","149.89","4.01","0","186.21","E","E"
"2006","24.63","La Roca del Vallés","176.35","1.24","90.58","0","71.96","0","145.42","D","D"
"2006","39.1","Roda de Ter","125","0.93","100.66","149.89","4.01","0","186.21","E","E"
"1969","32.88","Argentona","160","1.34","110.32","127.57","2.22","0","156.15","D","E"
"1982","106.44","Begues","121","0.93","267.06","0","3","339.05","405.59","G","G"
"1950","56.88","Matadepera","122.87","1.06","181.27","0","171.83","0","335.75","E","F"
"2002","38.79","Sant Celoni","159.65","2.16","120.38","151.86","1.57","0","183.78","E","E"
"1991","28.61","El Masnou","168","2.88","87.74","113.38","0.11","0","135.13","D","D"
"1987","63.26","Cubelles","81.05","1.25","216.62","0","189.2","0","373.42","F","G"
"1900","55.57","Terrasa","134","2.01","171.36","218.98","1.15","0","262.84","E","E"
"1955","63.33","Mataró","55.97","1.2","226.99","36.04","0","0","302.34","F","F"
"1998","47.03","Montmeló","117.57","1.07","150.88","122.6","48.75","0","241.16","E","E"
"1981","12.64","Castelldefels","240.75","1.44","93.57","44.97","3.96","0","61.25","B","B"
"1969","56.22","Llinars del Vallès","136","0.99","175.02","219.4","0","0","266.59","E","E"
"1900","48.94","Badalona","83.4","0.91","200.37","0","131.54","0","282.58","E","F"
"2004","77.51","CASTELLAR DEL VALLÈS","77.1","0.75","254.86","292.76","11.28","0","370.43","E","E"
"1998","54.23","Piera","106","0.81","195.25","170.54","9.18","0","259.74","E","E"
"1988","69.12","Lliçà de Vall","108","0.87","195.45","0","1.79","220.35","263.29","F","E"
"1920","38.76","Barcelona ","93","1.11","139.84","127.36","20.13","0","190.9","E","E"
"1983","56.57","Sora","111.79","1.05","203.99","184.5","17.13","0","273.84","E","F"
"1947","69.4","Terrasa","59","1.69","214.76","0","209.65","0","409.66","E","F"
"1973","75.83","SANT PERE DE VILAMAJOR","138.23","0.84","197.64","0","7.98","235.35","293.06","E","E"
"2002","108.12","Sant Pere de Vilamajor","150.87","0.72","240.67","0","8.12","339.03","415.58","G","G"
"2002","108.12","Sant Pere de Vilamajor","150.87","0.72","240.67","0","8.12","339.03","415.58","G","G"
"1989","53.98","Granollers","116.12","1.64","164.82","209.52","3.55","0","256.27","E","E"
"1965","34.88","Barcelona ","82.4","2","109.65","134.67","2.84","0","165.81","D","E"
"1950","44.73","Sant Cugat del Vallés","232","1.29","144.99","173.59","2.97","0","212.38","E","E"
"1975","56.69","Sant Boi de Llobregat","132.48","1.6","147.07","216.1","6.76","0","270.37","E","E"
"1925","79.38","Badalona","35","0.5","288.61","306.68","6.32","0","377.3","G","G"
"2000","31.96","Manresa","66","5.42","83.19","121.48","4.06","0","152.49","D","D"
"1978","78.84","Sant Esteve Sesrovires ","45.76","0.71","245.88","0","238.18","0","465.41","G","G"
"2008","51.59","Sant Cebrià de Vallalta","197.36","1.13","187.02","167.65","28.23","0","254.67","E","E"
"1985","18.37","SANT CUGAT DEL VALLES","120","4.97","47.47","69.25","2.77","0","87.82","C","C"
"1976","74.99","MOLINS DE REI","141.81","1.01","167.85","0","6.71","233.99","288.99","F","F"
"1988","60.43","Ripollet","95.81","1.54","161.06","234.99","3.67","0","286.8","E","F"
"1890","24.76","Teià","66.75","2.87","102.13","15.88","62.72","0","141.44","D","D"
"1979","70.2","Cànoves i Samalús","67.22","0.74","249.54","218.37","2.59","0","332.62","F","G"
"1900","44.06","Sabadell","250","1.95","158.12","15.13","0","0","208.96","E","E"
"1995","45.31","ESPARREGUERA","77.1","1.55","139.7","178.06","1.32","0","214.47","E","E"
"2007","69.19","OLIVELLA","169.31","1.1","154.22","0","30.63","189.87","283.7","F","F"
"2006","25.2","La Roca del Vallès","176.35","1.24","92.57","0","73.4","0","148.77","D","D"
"1978","70.88","CUBELLES","82","0.84","236.36","247.36","25.82","0","344.82","F","G"
"1984","19.43","VALLGORGUINA","88.38","1.38","170.76","0","51.78","0","111.99","C","D"
"2002","84.3","CANYELLES","120","0.78","218.3","0","33.55","235.36","343.05","G","G"
"2007","27.75","Barcelona ","176.8","0.99","93.1","107.67","1.86","0","131.77","D","D"
"1954","65.45","Manresa","160.73","0.77","204.41","254.53","3.95","0","310.62","F","F"
"1960","28.32","MANLLEU","135","2.06","105.43","0.17","0","0","134.78","D","D"
"1987","65.44","LA TORRE DE CLARAMUNT","153","1","203.21","256.06","2.77","0","310.12","F","F"
"1980","39.83","CERVELLO","61.92","1.57","147.43","118.15","30.38","0","199.96","E","E"
"1990","30.35","POLINYA","130","2.5","102.54","32.12","0.32","0","143.52","D","D"
"1960","60.75","Talamanca","217","1.21","157.52","0","5.71","189.26","234.29","E","E"
"2000","43.93","TONA","114","1.7","138.14","150.69","2.13","0","193.4","E","E"
"1969","86.55","Piera","91.72","0.94","230.78","63.58","69.21","153.14","391.43","G","G"
"1962","64.1","Ripollet","127.68","0.86","206.19","157.53","5.46","0","304.95","F","F"
"1960","54.34","Manresa","97","0.97","167.69","213.76","1.42","0","257.15","E","E"
"1980","52.71","Olivella","103.74","1.17","151.8","44.53","125.35","0","297.93","E","F"
"1954","85.61","Sabadell","92.15","1.01","195.08","331.97","5.92","0","406.6","G","G"
"1989","54.24","Rubí","118.6","1.63","143.27","213.21","1.54","0","256.72","E","E"
"1991","32.09","Sabadell","186","2.18","98.89","126.58","0","0","151.78","D","D"
"2004","70.76","L' ESTANY","104","1.18","179.46","0","1.89","225.53","269.58","F","E"
"1976","79.84","Vilanova i la Geltrú","82.18","0.74","285.02","0","52.06","0","399.54","G","G"
"1977","55.82","L'AMETLLA DEL VALLES","131","0.9","182.89","0","112.52","0","308.84","E","F"
"1975","94.28","Sant Pere de Ribes","87","0.85","295.91","0","38.86","258.59","382.69","G","G"
